Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA
Date,,,,,,,,,,
2019-01-02,37.667179107666016,20.674667358398438,37.889005195870084,21.0086669921875,36.7870373619735,19.920000076293945,36.94446185817818,20.406667709350586,148158800,174879000
2019-01-03,33.91524887084961,20.02400016784668,34.757226401323194,20.626667022705078,33.869929368945684,19.825332641601562,34.342199196005986,20.46666717529297,365248800,104478000
2019-01-04,35.36307144165039,21.179332733154297,35.43224447060452,21.200000762939453,34.29927134520694,20.18199920654297,34.473390406461,20.399999618530273,234428400,110911500
2019-01-07,35.284366607666016,22.33066749572754,35.49903742871124,22.44933319091797,34.80016986131174,21.183332443237305,35.46802857200159,21.447999954223633,219111200,113268000
2019-01-08,35.95698928833008,22.356666564941406,36.21220814004065,22.93400001525879,35.425089238657485,21.801332473754883,35.67314912223568,22.797332763671875,164101200,105127500
2019-01-09,36.56760025024414,22.568666458129883,36.858595734256404,22.899999618530273,35.689846005675946,22.097999572753906,36.0857875184234,22.366666793823242,180396400,81493500
2019-01-10,36.68446731567383,22.99799919128418,36.7250153790591,23.025999069213867,35.98321620169645,22.119333267211914,36.37438982207042,22.293333053588867,143122800,90846000
2019-01-11,36.324310302734375,23.150667190551758,36.66062531231102,23.227333068847656,36.138264476061444,22.584667205810547,36.46504026047846,22.805999755859375,108092800,75586500
2019-01-14,35.778099060058594,22.293333053588867,36.0810213178373,22.833332061767578,35.59205323610921,22.266666412353516,35.98084307721351,22.825332641601562,129756800,78709500
2019-01-15,36.5103645324707,22.961999893188477,36.58668926231533,23.253332138061523,35.79003101446399,22.299999237060547,35.8425058585296,22.333332061767578,114843600,90849000
2019-01-16,36.956398010253906,23.06999969482422,37.18060805161077,23.46666717529297,36.49366726780031,22.899999618530273,36.5127493606325,22.985332489013672,122278800,70375500
2019-01-17,37.17582702636719,23.15399932861328,37.60516490547045,23.433332443237305,36.555671907714014,22.94333267211914,36.77988189121995,23.08066749572754,119284800,55150500
2019-01-18,37.40482711791992,20.150667190551758,37.657658539759126,21.808666229248047,37.20446691460804,19.98200035095215,37.567019486821316,21.53333282470703,135004000,362262000
2019-01-22,36.56521987915039,19.92799949645996,37.38334404012299,20.53333282470703,36.40302392903853,19.700000762939453,37.30701931736308,20.321332931518555,121576000,181000500
2019-01-23,36.71310043334961,19.172666549682617,37.00409593671052,19.633333206176758,36.18358426425264,18.779333114624023,36.76795916739868,19.5,92522400,187950000
2019-01-24,36.42210388183594,19.43400001525879,36.84667036346506,19.57866668701172,36.193126087459284,18.618667602539062,36.7584188843341,18.868667602539062,101766000,120183000
2019-01-25,37.629024505615234,19.80266761779785,37.717279639931625,19.90133285522461,36.8085163508175,19.303333282470703,37.085197598121155,19.625999450683594,134142000,108744000
2019-01-28,37.28077697753906,19.7586669921875,37.28793230561794,19.83066749572754,36.65108262984457,19.183332443237305,37.1591291211258,19.527332305908203,104768400,96349500
2019-01-29,36.894378662109375,19.83066749572754,37.71727795602071,19.90399932861328,36.75842376107418,19.453332901000977,37.26885789319794,19.684667587280273,166348800,69325500
2019-01-30,39.4155387878418,20.584667205810547,39.630205924517746,20.600000381469727,38.218164063991175,19.89933204650879,38.93849747119621,20.030000686645508,244439200,168754500
2019-01-31,39.699378967285156,20.468000411987305,40.30999127047661,20.770666122436523,39.25095896483175,19.600000381469727,39.62066671326708,20.066667556762695,162958400,188538000
2019-02-01,39.71845245361328,20.81399917602539,40.30521110805666,21.073333740234375,39.577722529588904,20.233333587646484,39.823402102905106,20.3613338470459,130672400,109251000
2019-02-04,40.84666442871094,20.859333038330078,40.944458776160424,21.020000457763672,39.89973708480651,20.125333786010742,39.9307459363238,20.865333557128906,125982000,110281500
2019-02-05,41.5455322265625,21.42333221435547,41.760203032262986,21.496000289916992,41.10904256466571,20.816667556762695,41.23068680688681,20.832666397094727,144406400,101142000
2019-02-06,41.559844970703125,21.148000717163086,41.877077914727295,21.615999221801758,41.22830136807492,21.041332244873047,41.65763568434292,21.305999755859375,112958400,75577500
2019-02-07,40.77272415161133,20.500667572021484,41.4882861658143,20.979999542236328,40.62961029295609,20.200000762939453,41.120962293716275,20.886667251586914,126966800,97809000
2019-02-08,40.82063674926758,20.386667251586914,40.88052266539931,20.496667861938477,40.34394354100636,19.899999618530273,40.4804851842569,20.455333709716797,95280000,87663000
2019-02-11,40.58586502075195,20.856000900268555,41.01225593503974,21.239999771118164,40.54274893292941,20.700000762939453,40.973928086878736,20.773332595825195,83973600,106945500
2019-02-12,40.93561935424805,20.78733253479004,40.96196930527016,21.21266746520996,40.65056179004875,20.641332626342773,40.74638145519575,21.079999923706055,89134000,82764000
2019-02-13,40.76552963256836,20.544666290283203,41.316480664397695,20.850000381469727,40.70324961006937,20.3713321685791,41.05537900777508,20.823333740234375,89960800,77124000
2019-02-14,40.91405487060547,20.251333236694336,41.02424289927531,20.451332092285156,40.573903336868185,20.066667556762695,40.65295317751181,20.225332260131836,87342800,78012000
2019-02-15,40.823020935058594,20.525333404541016,41.12963645862106,20.53333282470703,40.6625271575021,20.260000228881836,41.021842566846736,20.299999237060547,98507200,58573500
